"NS_1","NS_10","NS_11","NS_12","NS_13","NS_14","NS_15","NS_16","NS_17","NS_18","NS_19","NS_2","NS_20","NS_21","NS_22","NS_23","NS_3","NS_4","NS_5","NS_6","NS_7","NS_8","NS_9","S_1","S_10","S_11","S_12","S_13","S_14","S_15","S_16","S_17","S_18","S_19","S_2","S_20","S_21","S_22","S_23","S_24","S_25","S_26","S_27","S_28","S_3","S_4","S_5","S_6","S_7","S_8","S_9"
4872.5438,1604.154725,203.2987861,2622.352727,8795.049876,756.8459448,201.1768318,280.3706052,6003.129992,996.8267386,3436.572965,11059.44253,5609.87719,14714.01687,727.8546003,4009.529387,3248.004354,3129.964413,4810.275372,1374.647095,3997.852794,3133.229643,2860.335597,3590.541138,475.7632512,2181.735867,2935.5154,452.5427585,6783.591127,1415.022858,1275.89732,2907.63218,2934.647886,9789.671783,1650.790862,3094.934913,4627.014507,3029.496247,2845.979144,3004.152133,3966.775861,401.9474997,3114.578552,3184.688336,2794.840661,2378.695346,9004.176221,2184.203698,2573.210849,227.0116031,1022.710157
2143.249221,4861.673327,227.4840437,3482.991038,119.095786,3758.021434,2217.976801,3073.590183,1194.014847,1215.774836,4529.977899,3567.98993,134.4568597,3236.707065,2224.03658,985.0953658,791.4136181,2531.727397,13009.8145,2189.616595,12614.79425,571.922193,2002.871767,5690.062046,1180.707547,3890.058072,2578.516624,2229.970173,660.333142,11019.25251,908.9951369,2038.870747,8057.85579,2824.6694,2868.269153,2370.798887,13261.01173,1120.275915,3604.626687,2631.11067,12386.32315,3261.674269,4512.132169,4501.149424,2333.192956,3316.818067,2738.152139,2584.053144,11367.49172,10096.23354,362.6785397
9613.841913,5390.101299,270.4839819,28883.28948,580.9330952,1453.778584,666.7051895,2136.535527,14288.19455,1178.103287,10408.40535,1499.031056,12258.60881,16528.02497,11716.04432,9659.34434,1153.120967,39224.37022,7324.427161,10989.14337,238.1340216,19826.03689,9899.296381,14387.55233,19093.15353,15434.36813,13298.3951,13798.88904,5813.004214,9759.681024,11696.12997,12994.14264,28709.67828,1667.169272,13214.38896,6458.459951,4402.914696,5797.117863,8856.611282,3004.315678,427.5420352,2606.288534,119261.1289,60363.02868,836.4188083,131.9193795,10357.2871,13827.21675,58878.98781,19513.58835,10570.758
4062.810469,5558.38431,588.5711681,6211.037648,24728.81968,6230.379808,589.7744012,5387.684122,7121.561382,22980.81155,9096.32332,5638.181705,6844.022328,22890.58601,3230.083753,8988.066919,5251.567672,829.8884838,8671.088493,8905.090973,5440.084732,10098.41902,4920.980852,3543.299305,2642.569602,6843.497638,5788.011022,11892.0706,11348.30186,8309.31767,2227.470123,672.9461563,3079.238138,10850.84565,1179.764771,651.9067658,4323.475718,1610.691262,2111.667449,430.7072627,6244.669497,635.4463027,6802.916866,8617.647903,9660.226074,13914.69585,12465.70018,10724.48926,624.500061,8548.349096,7165.330809
1064.396313,873.3181371,635.1141949,2556.348365,1086.478815,1045.680137,151.8555658,1238.731059,1337.259097,1282.388174,2499.982802,1514.775416,126.9709038,1027.790521,566.9630799,1096.530365,976.2518351,851.7666076,3199.899194,845.3746729,3613.028973,620.582598,824.0262063,1441.749781,3137.499086,558.5655514,848.122908,3890.515829,1271.396294,3605.485261,1246.847327,1165.003965,1171.399997,1173.2561,1154.440809,1508.594785,2656.436255,1346.773876,2012.370976,597.0532909,5000.920906,882.751162,1518.593825,2449.548784,865.9541503,1291.240794,1083.306088,991.894344,2674.670118,1449.356447,847.4010803
21778.3472,137.0830832,11394.5284,9137.46581,4017.333075,13518.44307,17558.83036,8147.846946,30713.47094,5617.727457,3099.680335,1715.641481,17097.39126,19899.40371,1471.733586,20480.38856,5572.131677,1752.094159,5192.957463,13270.40105,17391.61763,8941.526103,19779.05214,158833.6166,18394.38967,15423.10626,146.6266511,563.9651338,22351.25942,11133.34764,24272.2297,16580.79666,48748.62786,1711.85111,13804.68107,4379.16272,3943.589837,17200.36587,7827.863976,2493.786269,15802.42244,16121.4273,1565.656925,5190.053995,3707.814407,20227.10086,24287.753,19062.75633,23599.96177,3093.291093,10172.42284
7375.967798,4272.011536,323150.2402,731.4460194,154603.2519,292865.1855,167390.8738,49283.08407,11861.74528,540.4213748,539.371532,53021.40754,18914.71236,3213.446747,50923.50868,52476.81988,2999.230029,24661.42802,1119.583392,35982.83784,3060.239125,2606.361079,1731.064688,4819.027328,33997.27156,103.1899208,176187.0423,28858.63478,55113.6554,58.92593891,31079.47276,52696.29616,53.19041183,4197.516005,342241.8973,3579.886841,287.1348056,8396.371255,808.7932006,1642.249128,755.6532391,2384.209165,29865.27824,18961.14786,16113.73245,9691.558145,6208.91927,328163.5797,1640.531807,1449.870392,20189.4002
5297.997267,20530.47925,5373.668301,911.944856,1480.838451,13253.59438,6208.056182,14799.37004,6166.719508,7918.627309,1455.491045,2286.844259,283.0553768,730.4464243,5239.881848,6384.133902,5411.582835,8814.762869,10380.94978,4923.514778,972.8259056,7195.144672,5791.251951,8865.998099,6450.963706,1497.831096,11259.88988,3995.237231,12210.42505,12052.09785,6780.396823,5659.818845,12485.30157,5886.404147,611.6131102,6395.303163,18686.01805,27972.03783,38630.63021,11327.63892,13732.13818,16489.25989,7693.666764,1413.748604,4432.087908,2858.114069,6421.02811,1747.52254,8817.961303,7724.358204,4936.920651
1212.172818,1246.650477,972.2101345,294.5700679,952.9218526,1222.594412,1135.804247,1821.957763,1016.799517,504.9179346,1230.142576,1140.590887,1025.884976,1630.668692,1230.441611,2803.184679,1420.132518,1080.058334,478.1961294,953.0694896,1164.31921,957.9028096,1242.842963,1269.45939,1189.253526,1045.390889,1461.373206,1345.522112,253.7010986,610.5910386,1081.852356,892.4840659,1590.666973,2425.248188,947.4996251,1437.151205,1027.281943,314.960134,1283.504661,1311.612447,2201.674337,1035.589077,1339.814887,857.3472347,1015.614268,1275.295979,1132.198822,972.1888641,1805.775054,1215.747264,212.5062915
3935.62284,372.4449651,122.77823,174.7770244,179.1296531,1022.134511,234.2298209,111.6785376,183.6652232,198.9892032,318.9836584,277.5311846,2102.294475,3392.560588,11555.59324,121.2325974,208.5485638,129.4830268,111.1965473,3216.436382,1099.727301,58.55253146,386.3619723,175.9454503,537.1328052,254.7160584,646.3552701,260.8097528,193.5092355,305.9270545,425.0955426,125.4448134,440.1793472,489.8775587,771.7570319,249.2556815,195.3892959,108.3124283,83.19062385,140.3725641,607.2839953,132.4188299,432.0914967,682.4233198,139.7915702,218.8822901,224.3245547,173.1687232,194.8579247,132.1196747,687.3956127
